omm2_1,qm1_1,qm2_1,qm3_1,qm4_1,qra1_3,qra1_4,qra2_3,qra2_4,qra3_3,qra3_4,qra4_3,qra4_4,der(omm2_1),der(qm1_1),der(qm2_1),der(qm3_1),der(qm4_1),der(qra1_3),der(qra1_4),der(qra2_3),der(qra2_4),der(qra3_3),der(qra3_4),der(qra4_3),der(qra4_4),der(der(qra1_3)),der(der(qra2_3)),der(der(qra3_3)),der(der(qra4_3)),der(vm1_1),der(vm2_1),der(vm3_1),der(xm1_1),der(xm2_1),der(xm3_1),Fm3_1,Fr11_1,Fr11_2,Fr12_1,Fr12_2,Fr13_1,Fr13_2,Thr2_1,Tm1_1,Tm2_1,Tm3_1,Tr11_2,Tr12_2,Tr13_2,Tr21_1,Tr21_2,Tr22_1,Tr23_1,Tr23_2,omm1_1,omm3_1,qrj1_1,qrj2_1,qrj3_1,qrj4_1,vm1_1,vm2_1,vm3_1,xm1_1,xm2_1,xm3_1,xs1_1,xs2_1,xs3_1,Fm1_1,Fm2_1,Fta1_1,Fta2_1,Fta3_1,Thr1_1,Thr3_1,Tr11_1,Tr12_1,Tr13_1,Tr22_2,omhr1_1,omhr2_1,omhr3_1,omr21_1,omr21_2,omr22_1,omr22_2,omr23_1,omr23_2,omu_1,xfa1_1,xfa2_1,xfa3_1
0.7315321932799702,0.9998212803100077,0,0.01828861067240519,0,0.9998212803100077,0.9998212803100077,0,0,0.01828861067240519,0.01828861067240519,0,0,7.311618885633141,-0.006689353738614021,0,0.3657007270365839,-0,-0.006689353738614021,-0.006689353738614021,0,0,0.3657007270365839,0.3657007270365839,-0,-0,-0.2006206030587508,0,3.652709338880263,-0,-0.802160003013303,-0,-7.286989705292299,-0.02675263287755043,-0,-0.7310260602596849,-7.286989705292299,0,-0.802160003013303,0,-0,0,2.523010294707701,0,0,2.491929132321129,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.02675263287755043,-0,-0.7310260602596849,0.9993081192804163,0,-0.03657068427515087,0,0,0,-0.802160003013303,-0,0.802160003013303,0,-2.523010294707701,-0,-0,0,0,0,-2.491929132321129,0,0.7315321932799702,0,0,0,0.7315321932799702,0.7315321932799702,0,0,0.7315321932799702,0.9993081192804163,0,-0.03657068427515087
0.8046354532177977,0.9997422915878826,0,0.02212813106004512,0,0.9997422915878826,0.9997422915878826,0,0,0.02212813106004512,0.02212813106004512,0,0,7.30936823688236,-0.008902539382181118,0,0.4022140459464078,-0,-0.008902539382181118,-0.008902539382181118,0,0,0.4022140459464078,0.4022140459464078,-0,-0,-0.2426891697312579,0,3.650160626194941,-0,-0.9701894859329483,-0,-7.273376477146231,-0.0356009804915725,-0,-0.8038267908901592,-7.273376477146231,0,-0.9701894859329483,0,-0,0,2.53662352285377,0,0,2.491148309578203,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0356009804915725,-0,-0.8038267908901592,0.9989949954051804,0,-0.04424485690905303,0,0,0,-0.9701894859329483,-0,0.9701894859329483,0,-2.53662352285377,-0,-0,0,0,0,-2.491148309578203,0,0.8046354532177977,0,0,0,0.8046354532177977,0.8046354532177977,0,0,0.8046354532177977,0.9989949954051804,0,-0.04424485690905303
0.8777127725429386,0.9996391422566439,0,0.02633263739744318,0,0.9996391422566439,0.9996391422566439,0,0,0.02633263739744318,0.02633263739744318,0,0,7.306404724343983,-0.01155624608923886,0,0.4386980215462619,-0,-0.01155624608923886,-0.01155624608923886,0,0,0.4386980215462619,0.4386980215462619,-0,-0,-0.2887238815427936,0,3.646812543413968,-0,-1.153944585883088,-0,-7.255508593993516,-0.04620830371341372,-0,-0.8764708150604967,-7.255508593993516,0,-1.153944585883088,0,-0,0,2.554491406006484,0,0,2.490125940018356,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.04620830371341372,-0,-0.8764708150604967,0.9985850069392934,0,-0.05264627012267064,0,0,0,-1.153944585883088,-0,1.153944585883088,0,-2.554491406006484,-0,-0,0,0,0,-2.490125940018356,0,0.8777127725429386,0,0,0,0.8777127725429386,0.8777127725429386,0,0,0.8777127725429386,0.9985850069392934,0,-0.05264627012267064
0.9507559879474535,0.9995069128682342,0,0.03090177134298062,0,0.9995069128682342,0.9995069128682342,0,0,0.03090177134298062,0.03090177134298062,0,0,7.30259854691182,-0.01469002207126092,0,0.4751435912021737,-0,-0.01469002207126092,-0.01469002207126092,0,0,0.4751435912021737,0.4751435912021737,-0,-0,-0.3387044224882876,0,3.642515551546277,-0,-1.353286459790529,-0,-7.232586335400816,-0.05873111444164893,-0,-0.9489107126170829,-7.232586335400816,0,-1.353286459790529,0,-0,0,2.577413664599185,0,0,2.488814633026857,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.05873111444164893,-0,-0.9489107126170829,0.9980591493992541,0,-0.06177306815436526,0,0,0,-1.353286459790529,-0,1.353286459790529,0,-2.577413664599185,-0,-0,0,0,0,-2.488814633026857,0,0.9507559879474535,0,0,0,0.9507559879474535,0.9507559879474535,0,0,0.9507559879474535,0.9980591493992541,0,-0.06177306815436526
1.02375586387872,0.9993406362580224,0,0.0358350956786359,0,0.9993406362580224,0.9993406362580224,0,0,0.0358350956786359,0.0358350956786359,0,0,7.297803421804295,-0.01834319466682924,0,0.5115404181907207,-0,-0.01834319466682924,-0.01834319466682924,0,0,0.5115404181907207,0.5115404181907207,-0,-0,-0.3926049932989782,0,3.637106280864721,-0,-1.568038604043569,-0,-7.203744992833946,-0.07332439931741561,-0,-1.021091593700944,-7.203744992833946,0,-1.568038604043569,0,-0,0,2.606255007166054,0,0,2.487164840710383,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.07332439931741561,-0,-1.021091593700944,0.997397553194292,0,-0.07162293463171023,0,0,0,-1.568038604043569,-0,1.568038604043569,0,-2.606255007166054,-0,-0,0,0,0,-2.487164840710383,0,1.02375586387872,0,0,0,1.02375586387872,1.02375586387872,0,0,1.02375586387872,0.997397553194292,0,-0.07162293463171023
1.096702274799416,0.999135219869288,0,0.04113209165123994,0,0.999135219869288,0.999135219869288,0,0,0.04113209165123994,0.04113209165123994,0,0,7.291857870088919,-0.02255482924058646,0,0.5478769342314315,-0,-0.02255482924058646,-0.02255482924058646,0,0,0.5478769342314315,0.5478769342314315,-0,-0,-0.4503936231510268,0,3.630408041875513,-0,-1.797981645490618,-0,-7.168056727910097,-0.0901412970896304,-0,-1.092950827682262,-7.168056727910097,0,-1.797981645490618,0,-0,0,2.641943272089904,0,0,2.485124496300371,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0901412970896304,-0,-1.092950827682262,0.9965793386196445,0,-0.08219304287129064,0,0,0,-1.797981645490618,-0,1.797981645490618,0,-2.641943272089904,-0,-0,0,0,0,-2.485124496300371,0,1.096702274799416,0,0,0,1.096702274799416,1.096702274799416,0,0,1.096702274799416,0.9965793386196445,0,-0.08219304287129064
1.169582392057193,0.9988846199893023,0,0.04679205487078025,0,0.9988846199893023,0.9988846199893023,0,0,0.04679205487078025,0.04679205487078025,0,0,7.284597575857809,-0.0273635817325193,0,0.5841389316181143,-0,-0.0273635817325193,-0.0273635817325193,0,0,0.5841389316181143,0.5841389316181143,-0,-0,-0.5120299492083693,0,3.622234258978874,-0,-2.042840302531646,-0,-7.124533782033093,-0.109332243761735,-0,-1.164413993024856,-7.124533782033093,0,-2.042840302531646,0,-0,0,2.685466217966908,0,0,2.482634953973836,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.109332243761735,-0,-1.164413993024856,0.9955809876521429,0,-0.09347972789623583,0,0,0,-2.042840302531646,-0,2.042840302531646,0,-2.685466217966908,-0,-0,0,0,0,-2.482634953973836,0,1.169582392057193,0,0,0,1.169582392057193,1.169582392057193,0,0,1.169582392057193,0.9955809876521429,0,-0.09347972789623583
1.242382368121987,0.9985827994476736,0,0.05281417644321971,0,0.9985827994476736,0.9985827994476736,0,0,0.05281417644321971,0.05281417644321971,0,0,7.275841553068352,-0.03280770079996988,0,0.620310831571842,-0,-0.03280770079996988,-0.03280770079996988,0,0,0.620310831571842,0.620310831571842,-0,-0,-0.5774654097283028,0,3.6123852586941,-0,-2.302282720795624,-0,-7.072130959881274,-0.1310448228331024,-0,-1.235398030039957,-7.072130959881274,0,-2.302282720795624,0,-0,0,2.737869040118727,0,0,2.479635792053676,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.1310448228331024,-0,-1.235398030039957,0.9943782701193772,0,-0.1054786563263874,0,0,0,-2.302282720795624,-0,2.302282720795624,0,-2.737869040118727,-0,-0,0,0,0,-2.479635792053676,0,1.242382368121987,0,0,0,1.242382368121987,1.242382368121987,0,0,1.242382368121987,0.9943782701193772,0,-0.1054786563263874
1.315085287727723,0.998222764697505,0,0.0591973920691216,0,0.998222764697505,0.998222764697505,0,0,0.0591973920691216,0.0591973920691216,0,0,7.265406685354934,-0.0389248096909758,0,0.6563740358642907,-0,-0.0389248096909758,-0.0389248096909758,0,0,0.6563740358642907,0.6563740358642907,-0,-0,-0.6466404829530853,0,3.600652451777267,-0,-2.57590443939712,-0,-7.009750692133166,-0.1554225245802004,-0,-1.305806515071238,-7.009750692133166,0,-2.57590443939712,0,-0,0,2.800249307866834,0,0,2.476060107564647,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.1554225245802004,-0,-1.305806515071238,0.9929443567325452,0,-0.1181843687482414,0,0,0,-2.57590443939712,-0,2.57590443939712,0,-2.800249307866834,-0,-0,0,0,0,-2.476060107564647,0,1.315085287727723,0,0,0,1.315085287727723,1.315085287727723,0,0,1.315085287727723,0.9929443567325452,0,-0.1181843687482414
1.38767443833022,0.997798090945934,0,0.0659405915595532,0,0.997798090945934,0.997798090945934,0,0,0.0659405915595532,0.0659405915595532,0,0,7.253085532999045,-0.04575203667778272,0,0.6923094527101824,-0,-0.04575203667778272,-0.04575203667778272,0,0,0.6923094527101824,0.6923094527101824,-0,-0,-0.7194864408091494,0,3.586812983247357,-0,-2.863235792962755,-0,-6.936245301585453,-0.1826051794159198,-0,-1.375536267788914,-6.936245301585453,0,-2.863235792962755,0,-0,0,2.873754698414547,0,0,2.47184212086618,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.1826051794159198,-0,-1.375536267788914,0.9912528686801265,0,-0.1315907927479355,0,0,0,-2.863235792962755,-0,2.863235792962755,0,-2.873754698414547,-0,-0,0,0,0,-2.47184212086618,0,1.38767443833022,0,0,0,1.38767443833022,1.38767443833022,0,0,1.38767443833022,0.9912528686801265,0,-0.1315907927479355
